년도,월,신규발급자 수
2016,01,166123
2016,02,160144
2016,03,181751
2016,04,179225
2016,05,176778
2016,06,165140
2016,07,159990
2016,08,168529
2016,09,180808
2016,10,189176
2016,11,211735
2016,12,206262
2017,01,203790
2017,02,224099
2017,03,211963
2017,04,191588
2017,05,198337
2017,06,191560
2017,07,184065
2017,08,207140
2017,09,204379
2017,10,190081
2017,11,227411
2017,12,194366
2018,01,203923
2018,02,175992
2018,03,202595
2018,04,186150
2018,05,197702
2018,06,220148
2018,07,236915
2018,08,236086
2018,09,241630
2018,10,278419
2018,11,311088
2018,12,255965
2019,01,270568
2019,02,268633
2019,03,282336
2019,04,273220
2019,05,255839
2019,06,296342
2019,07,280902
2019,08,259629
2019,09,295331
2019,10,285994
2019,11,309702
2019,12,278708
2020,01,243144
2020,02,243397
2020,03,362718
2020,04,228684
2020,05,246627
2020,06,225644
2020,07,239442
2020,08,249628
2020,09,266115
2020,10,279118
2020,11,300357
2020,12,368422
2021,01,330413
2021,02,256864
2021,03,313695
2021,04,296220
2021,05,300554
2021,06,267302
2021,07,273348
2021,08,262531
2021,09,260644
2021,10,268553
2021,11,288379
2021,12,243283
2022,01,224264
2022,02,206505
2022,03,214056
2022,04,185832
2022,05,191531
2022,06,190470
2022,07,186045
2022,08,182907
2022,09,180603
2022,10,189114
2022,11,190348
2022,12,194413
2023,01,181985
