"시점","주야별(1)",1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
"시점","주야별(1)",사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명),사망자수 (명)
"2011","주",186,156,143,182,185,202,225,227,217,233,228,250
"2011","야",209,183,195,247,208,213,237,245,257,287,286,228
"2012","주",206,194,179,233,218,238,198,193,233,261,238,196
"2012","야",212,199,224,250,226,238,218,216,253,272,270,227
"2013","주",190,136,198,164,215,195,221,192,211,236,223,209
"2013","야",199,199,211,216,205,241,223,220,219,263,256,250
"2014","주",189,150,153,153,226,185,196,183,200,223,249,209
"2014","야",200,175,205,188,172,182,211,176,245,247,227,218
"2015","주",174,129,175,168,202,202,179,190,199,241,189,204
"2015","야",207,167,203,186,187,188,180,215,188,229,221,198
"2016","주",159,135,154,160,210,162,187,175,187,195,215,196
"2016","야",177,157,156,193,137,159,171,161,188,245,201,212
"2017","주",183,129,127,147,193,171,170,188,205,198,203,162
"2017","야",170,151,168,146,173,144,187,165,214,222,176,193
"2018","주",149,122,150,138,171,148,171,169,169,204,163,164
"2018","야",155,153,160,165,138,118,144,188,179,169,135,159
"2019","주",152,101,124,152,174,145,132,131,150,168,169,152
"2019","야",144,102,128,134,131,134,109,122,137,169,128,161
"2020","주",145,107,124,117,136,111,116,161,164,162,145,130
"2020","야",132,115,115,96,118,143,124,134,137,147,116,86
"2021","주",107,107,128,119,154,124,139,129,131,156,163,149
"2021","야",90,96,81,93,101,103,115,118,115,156,122,120
