"실적구분별(1)",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"경제성장률 (%)",6.5,3.7,2.3,2.9,3.3,2.6,2.8,3.1,2.7,2.0,-1.0,4.0
"판매전력량 (백만kWh)",434160,455070,466593,474849,477592,483655,497039,507746,526149,520499,509270,533431
"주택용판매전력량 (백만kWh)",63199,63523,65484,65815,64457,65619,68057,68544,72895,72639,76303,79915
"일반용판매전력량 (백만kWh)",97410,99504,101593,102196,100761,103679,108617,111298,116934,116227,113639,119550
"교육용판매전력량 (백만kWh)",7452,7568,7860,7947,7438,7691,8079,8316,8678,8561,7515,8423
"산업용판매전력량 (백만kWh)",232672,251491,258102,265373,272552,273548,278828,285970,292999,289240,278660,291333
"농사용판매전력량 (백만kWh)",10654,11232,12776,13866,14505,15702,16580,17251,18504,18882,19029,20603
"가로등판매전력량 (백만kWh)",3081,3145,3158,3156,3221,3341,3462,3557,3583,3571,3507,3444
"심야판매전력량 (백만kWh)",19690,18607,17620,16496,14658,14075,13416,12811,12558,11379,10616,10162
"인구1인당전력소비량 (kWh/년)",8883,9142,9331,9285,9305,9555,9699,9869,10195,10039,9826,10330
