"시도별(1)",2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별(1)",의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사,의사,의사,간호사
"시도별(1)",일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계,일반의,전문의,소계
"서울",934,16102,28634,1067,17816,29804,863,18667,31194,863,19423,35179,848,19953,37660,837,20361,39759,938,21040,45291,1014,21698,46034,1124,22352,47763,1187,23359,52727,1227,24290,54778,1287,25109,58773
"부산",337,4698,9268,376,5167,10144,371,5369,10212,347,5631,11547,360,5822,12660,380,6021,13782,372,6196,15494,363,6317,15962,363,6465,16696,365,6669,18514,369,6835,18961,377,6966,19794
"대구",138,3370,6143,152,3634,6458,135,3814,6458,142,3941,8189,139,4023,8502,142,4174,9005,159,4350,9920,162,4462,10073,171,4620,10541,167,4813,12557,173,4953,12683,184,5060,13983
"인천",193,2511,4364,240,2797,4689,213,2951,4815,207,3142,5476,213,3347,6500,201,3548,7450,207,3686,8822,207,3900,9504,239,4085,10355,246,4250,11639,241,4349,12176,260,4433,12656
"광주",91,2024,4538,135,2225,5159,128,2351,5123,119,2451,5430,130,2572,6147,139,2686,6679,152,2785,7192,155,2869,7559,160,2937,7990,153,3045,8949,153,3089,9112,148,3092,9452
"대전",149,2136,3874,168,2248,4056,159,2395,4127,158,2477,4570,158,2566,4709,159,2647,5034,161,2731,5788,152,2829,6019,155,2917,6274,172,2990,7153,178,2981,7457,174,3026,7871
"울산",110,1055,2192,120,1163,2390,103,1211,2410,100,1252,2950,110,1298,3214,114,1380,3362,113,1442,3863,103,1483,3961,106,1484,4003,105,1528,4612,103,1543,4808,101,1570,5044
